Generic Name,BDDCS Class,Maximum Strength Dose Value,Maximum Strength Dose Unit,Formulation,Route,Measured Solubility (mg/mL),Dose Number,% Excreted Unchanged in Urine,MW Drug,MW Sol,pDose,Measured LogS (molar),Measured LogP,Measured LogD74,ALOGPS 2.1 solubility,cDose Number (ALOGPS based),minVSLgS 3-7.5,cDose Number (minVSLgS based),CLogP,HBA,HBD,PSA,Ro5,PSDA
Hydralazine Hydrochloride,1,100,mg,tablets,oral,44.2,0.009,8,160.18,196.64,3.2,-0.65,1,0.56,-2.01,0.2,-1.29,0.04,0.66,4,2,67.97,0,2.36
Hydrocodone,1,10,mg,tablets,oral,62.5,0.0006,10.2,299.37,299.37,4.48,-0.68,1.27,3.38,-2.58,0.05,-1.25,0.002,1.13,4,0,37.66,0,7.95
Hydrocortisone; Cortisol,1,20,mg,tablets,oral,0.42,0.2,,362.47,362.47,4.26,-2.94,1.61,1.37,-3.26,0.4,-3.48,0.7,1.7,5,3,104.22,0,3.48
Hydromorphone,1,8,mg,tablets,oral,10,0.003,6,285.35,285.35,4.55,-1.46,,,-1.81,0.007,-1.06,0.001,0.72,4,1,51.42,0,5.55
Hydroxychloroquine Sulfate,1,200,mg,tablets,oral,200,0.004,27,335.88,335.88,3.23,-0.23,,1.72,-4.12,31,-1.64,0.1,4.12,4,2,48.25,0,6.96
Hydroxyzine,1,100,mg,tablets,oral,700,0.0006,0.1,374.91,374.91,3.57,0.27,3.5,2.37,-3.61,4.3,-3.76,6.2,4,4,1,33.7,0,11.13
Ibutilide,1,0,mg/mL,solution,injection (i.v.),100,,7,384.59,384.59,,-0.58,,,-4.91,,-2.01,,3.78,4,2,75.53,0,5.09
Idarubicin,1,1,mg/mL,solution,injection (i.v.),,,3,497.51,497.51,,,,1.63,-2.79,,-3.81,,0.9,10,5,191.23,0,2.6
Ifosfamide,1,50,mg/mL,solution,injection (i.v.),100,,10,261.09,261.09,,-0.42,0.86,0.86,-1.2,,-2.4,,0.92,2,1,44.31,0,5.89
Iloprost,1,5,æg/inhalation,solution,topical (aerosol),1,0.00002,0,360.5,360.5,,-2.56,2.97,0.46,-4.62,,-4.4,,2.71,4,3,85.95,0,4.19
Imidapril,1,10,mg,tablets,oral,,,5,405.45,405.45,4.61,,,,-2.96,0.09,-0.68,0.0005,1.53,6,2,121.36,0,3.34
Imipramine,1,50,mg,tablets,oral,,,1.5,280.42,280.42,3.75,,4.8,2.2,-3.61,2.9,-2.04,0.08,5.04,2,0,1.75,1,160.24
Inamrinone; Amrinone Lactate,1,0,mg/mL,solution,injection (i.v.),0.9,,25,187.2,277.28,,-2.49,,-0.7,-1.52,,-1.89,,-0.69,3,2,70.15,0,2.67
Indapamide,1,3,mg,tablets,oral,0.59,0.02,7,365.84,365.84,5.17,-2.79,,2.09,-4.02,0.3,-3.7,0.1,2.96,4,2,102.49,0,3.57
Irinotecan,1,20,mg/mL,solution,injection (i.v.),10,,16.7,586.69,586.69,,-1.77,,,-3.73,,-3.79,,2.73,6,1,108.44,1,5.41
Isoniazid,1,300,mg,tablets,oral,153,0.008,7,137.14,137.14,2.66,0.05,-0.7,-1.14,-0.59,0.03,-0.67,0.04,-0.67,3,2,74.33,0,1.85
Isosorbide 2-Mononitrate,1,10,mg,tablets,oral,1.1,0.04,,191.14,191.14,4.28,-2.24,-0.4,-0.4,-0.54,0.0007,-0.83,0.001,-0.66,6,1,96.6,0,1.98
Isosorbide 5-Mononitrate,1,20,mg,tablets,oral,1.1,0.07,2.5,191.14,191.14,3.98,-2.24,-0.4,-0.15,-0.54,0.001,-0.88,0.003,-0.66,6,1,96.6,0,1.98
Isosorbide Dinitrate,1,40,mg,tablets,oral,1.089,0.1,,236.14,236.14,3.77,-2.34,1.31,1.31,-2.39,0.2,-2.15,0.1,0.22,8,0,130.49,0,1.81
Ivabradine,1,8,mg,tablets,oral,,,4,468.6,468.6,4.8,,,,-4.36,1.5,-3.33,0.1,3.97,6,0,57.04,0,8.22
Ivermectin,1,3,mg,tablets,oral,4,0.003,,875.12,875.12,5.46,-2.34,,6.82,-5.17,2,-8.48,4162,5.39,13,3,173.88,3,5.03
Ketamine,1,100,mg/mL,solution,injection (i.v.),200,,4,237.73,237.73,,-0.08,2.18,2.09,-3.7,,-1.35,,2.93,2,1,32.84,0,7.24
Labetalol,1,300,mg,tablets,oral,16,0.08,2.5,328.41,328.41,3.04,-1.31,1.33,1.08,-4.71,187,-2.14,0.5,2.5,4,4,106.25,0,3.09
Letrozole,1,3,mg,tablets,oral,0.041,0.2,3.9,285.31,285.31,5.06,-3.84,,,-3.56,0.1,-4.71,1.8,1.24,4,0,61.36,0,4.65
Leuprolide,1,45,mg/mL,solution,injection (s.c.),250,,2,1209.43,1209.43,,-0.68,,,-4.53,,-5.36,,-0.99,16,16,464.21,3,2.61
Levamisole,1,50,mg,tablets,oral,,,,204.3,204.3,3.61,,1.84,1.16,-2.16,0.1,-1.62,0.04,1.84,2,0,10.79,0,18.93
Levobupivacaine,1,8,mg/mL,solution,injection (epidural),0.17,0.2,0.5,288.44,288.44,,-3.23,3.21,2.66,-3.49,,-3.53,,3.69,2,1,33.72,0,8.55
Levodopa,1,250,mg,tablets,oral,1.65,0.6,0.5,197.19,197.19,2.9,-2.08,-2.74,-2.39,-1.76,0.3,1.48,0.0002,-2.82,5,4,114.54,0,1.72
Lidocaine,1,20,mg/mL,solution,injection (i.v.),3.58,,8,234.34,234.34,,-1.82,2.44,1.88,-2.58,,-2.09,,1.95,2,1,33.72,0,6.95
Linezolid,1,600,mg,tablets,oral,8,0.3,30,337.35,337.35,2.75,-1.62,,1.8,-2.37,1.7,-3.42,19,0.17,5,1,70.45,0,4.79
Liraglutide,1,6,mg/mL,solution,injection (s.c.),,,6,3751.29,3751.29,,,,,,,,,,59,54,1675.18,3,2.24
Lorazepam,1,2,mg,tablets,oral,0.08,0.1,0.5,321.17,321.17,5.21,-3.6,2.39,2.39,-4.27,0.5,-3.96,0.2,2.37,3,2,64.71,0,4.96
Lorcainide Hydrochloride,1,100,mg,tablets,oral,2.4,0.2,1,370.93,370.93,3.57,-2.19,4.85,2.84,-4.69,53,-2.88,0.8,4.48,2,0,20.32,0,18.25
Maprotiline,1,75,mg,tablets,oral,3.134,0.1,3,277.41,277.41,3.57,-1.95,4.85,1.43,-6.24,1879,-1.17,0.02,4.52,1,1,14.57,0,19.04
Maraviroc,1,300,mg,tablets,oral,,,8,513.68,513.68,3.23,,,,-4.68,112,-3.53,8,3.26,4,1,57.98,1,8.86
Melatonin,1,5,mg,tablets,oral,0.1,0.2,,232.28,232.28,4.67,-3.37,,,-3.2,0.1,-2.78,0.05,1.03,2,2,55.92,0,4.15
Melphalan,1,2,mg,tablets,oral,0.1,0.08,12,305.21,305.21,5.18,-3.48,,-0.11,-2.93,0.02,-0.39,0.00006,-0.21,4,2,69.67,0,4.38
Meperidine; Pethidine,1,100,mg,tablets,oral,3.22,0.1,13,247.34,247.34,3.39,-1.89,2.72,1.44,-2.36,0.4,-1.65,0.07,2.23,2,0,28.24,0,8.76
Mepivacaine,1,20,mg/mL,solution,injection (epidural),2.4,,5,246.36,246.36,,-2.01,1.95,1.75,-2.59,,-2.74,,2.1,2,1,33.72,0,7.31
Meprobamate,1,400,mg,tablets,oral,3.4,0.5,,218.25,218.25,2.74,-1.81,0.7,0.7,-1.96,0.7,-1.53,0.2,0.92,2,2,110.07,0,1.98
Mesna,1,400,mg,tablets,oral,,,,142.2,142.2,2.55,,,,-1.05,0.1,1.69,0.0002,-1.55,3,2,59.79,0,2.38
Methadone,1,10,mg,tablets,oral,120,0.0003,24,309.46,309.46,4.49,-0.41,3.93,2.07,-4.71,6.6,-2.46,0.04,4.17,2,0,19.45,0,15.91
Methohexital,1,10,mg/mL,solution,injection (i.v.),100,,0.5,262.31,262.31,,-0.42,,2.3,-3.7,,-3.13,,1.81,3,1,70.56,0,3.72
Methylergonovine,1,0,mg,tablets,oral,,,,339.44,339.44,6.23,,,,-3.23,0.004,-3.3,0.005,1.76,3,3,70.55,0,4.81
Methylphenidate,1,20,mg,tablets,oral,,,,233.31,233.31,4.07,,1.8,-0.28,-3.11,0.4,-1.75,0.02,2.56,2,1,41.64,0,5.6
Methylprednisolone,1,32,mg,tablets,oral,0.3236,0.4,4.9,374.48,374.48,4.07,-3.06,,2.18,-3.55,1.2,-3.87,2.5,1.74,5,3,104.22,0,3.59
Metoprolol,1,100,mg,tablets,oral,1000,0.0004,10,267.37,267.37,3.43,0.57,1.88,0.16,-2.83,1,-0.81,0.01,1.49,4,2,55.03,0,4.86
Metronidazole,1,500,mg,tablets,oral,10,0.2,10,171.16,171.16,2.53,-1.23,-0.02,0.14,-1.46,0.3,-1.43,0.3,-0.46,4,1,77.52,0,2.21
Mexiletine,1,250,mg,capsules,oral,,,9.5,179.26,179.26,2.86,,2.15,2.15,-2.51,1.8,-0.12,0.007,2.57,2,1,37.08,0,4.83
Mianserin,1,60,mg,tablets,oral,3.4,0.07,5,264.37,264.37,3.64,-1.89,4.24,2.52,-3.07,1.1,-2.73,0.5,3.76,2,0,2.05,0,128.96
Micafungin Sodium,1,10,mg/mL,solution,injection (i.v.),,,1,1270.3,1270.3,,,,,-3.77,,-7.93,,-2.59,22,16,554.51,3,2.29
Minocycline Hydrochloride,1,100,mg,capsules,oral,50,0.008,11,457.49,457.49,3.66,-0.96,0.05,0.04,-2.16,0.1,2.53,0.000003,0.19,9,5,175.38,0,2.61
Minoxidil,1,10,mg,tablets,oral,2.2,0.02,10,209.25,209.25,4.32,-1.98,1.24,1.38,-1,0.002,-1.86,0.01,-0.72,5,2,89.15,0,2.35
Mirtazapine,1,45,mg,tablets,oral,0.5,0.4,2,265.36,265.36,3.77,-2.72,,,-2.37,0.2,-2.31,0.1,2.81,3,0,12.29,0,21.59
Misoprostol,1,0,mg,tablets,oral,,,0.5,382.55,382.55,6.28,,,2.91,-4.35,0.05,-5.01,0.2,3.07,4,2,90.45,0,4.23
Molindone,1,50,mg,tablets,oral,,,2,276.38,276.38,3.74,,,,-2.77,0.4,-1.77,0.04,2.57,3,1,42.21,0,6.55
Morphine hydrochloride,1,30,mg,capsules,oral,57.14,0.002,4,285.35,321.8,3.98,-0.75,0.89,1.03,-1.42,0.01,-1.26,0.007,0.57,4,2,55.71,0,5.12
Nafarelin,1,0,mg/actuation,solution,topical (nasal),1,0.0008,3,1322.5,1322.5,6.82,-3.12,,,-4.91,,-5.45,,-1.22,17,17,510.46,3,2.59
Nalbuphine Hydrochloride,1,20,mg/mL,solution,injection (i.v.),35.5,,4,357.45,357.45,,-1,,,-2.23,,-2.41,,1.39,5,3,78.27,0,4.57
Nalmefene Hydrochloride,1,1,mg/mL,solution,injection (i.v.),124,,9.6,339.44,339.44,,-0.44,,-1.13,-2.61,,-2.87,,2.64,4,2,55.71,0,6.09
Naloxone,1,2,mg,tablets,oral,,,0,327.38,327.38,5.21,,2.09,1.28,-1.77,0.001,-2.14,0.003,0.16,5,2,73.98,0,4.43
Naltrexone,1,100,mg,tablets,oral,100,0.004,1,341.41,341.41,3.53,-0.53,1.92,0.9,-2.05,0.1,-2.1,0.1,0.36,5,2,73.98,0,4.61
Nefopam,1,30,mg,tablets,oral,34,0.004,3,253.35,253.35,3.93,-0.87,3,,-3.48,1.4,-2.39,0.1,2.91,2,0,9.97,0,25.41
Niacin; Nicotinic Acid,1,1000,mg,capsules,oral,16.66,0.2,,123.11,123.11,2.09,-0.87,0.36,-2.87,-0.19,0.05,-0.05,0.04,0.8,3,1,51.07,0,2.41
Niacinamide; Nicotinamide,1,750,mg,tablets,oral,1000,0.003,,122.13,122.13,2.21,0.91,,,-0.39,0.06,-1.01,0.2,0.8,2,1,56.49,0,2.16
Nicardipine,1,30,mg,capsules,oral,7.9,0.02,0,479.54,479.54,4.2,-1.78,3.82,,-5.29,49,-4.96,23,5.23,6,1,114.03,1,4.21
Nicorandil,1,20,mg,tablets,oral,4.2,0.02,0.5,211.18,211.18,4.02,-1.7,,0.72,-2.25,0.07,-1.98,0.04,0.75,5,1,99.54,0,2.12
Nicotine,1,4,mg,tablets,oral,,,16.7,162.24,162.24,4.61,,1.17,0.43,-0.26,0.0002,-0.25,0.0002,0.88,2,0,11.42,0,14.21
Nitroglycerin,1,0,mg,tablets,sublingual,0.8,0.002,0.5,227.09,227.09,5.75,-2.45,1.62,1.62,-3.04,0.008,-2.68,0.003,1.76,9,0,169.35,0,1.34
Norethindrone,1,0,mg,tablets,oral,0.01,0.1,2,298.43,298.43,5.93,-4.47,2.97,2.97,-4.66,0.2,-3.97,0.04,2.78,2,1,40.83,0,7.31
Norgestimate,1,0,mg,tablets,oral,0.02,0.05,0,369.51,369.51,6.17,-4.27,,3.6,-4.84,0.2,-5.17,0.4,5.06,3,1,62.44,1,5.92
Norgestrel,1,1,mg,tablets,oral,0.002,1,0,312.46,312.46,5.8,-5.19,,3.6,-4.74,0.4,-4.38,0.2,3.31,2,1,40.83,0,7.65
Nortilidine,1,,active metabolite,,,,,3,259.35,259.35,,,,,-3.3,,-2.48,,3.16,2,1,41.64,0,6.23
Nortriptyline,1,75,mg,capsules,oral,,,2,263.39,263.39,3.55,,4.04,1.69,-5.48,344,-1.22,0.02,4.32,1,1,14.57,0,18.08
Octreotide Acetate,1,1,mg/mL,solution,injection (i.v.),,,32,1019.26,1019.26,,,,,-4.92,,-4.53,,2.51,12,13,367.5,3,2.77
Olmesartan Medoxomil,1,40,mg,tablets,oral,2,0.08,0,558.6,558.6,4.15,-2.45,,,-4.88,22,-3.53,1,2.91,8,2,150.96,1,3.7
Omeprazole,1,40,mg,tablets,oral,0.5,0.3,0,345.42,345.42,3.94,-2.84,2.23,2.23,-2.99,0.5,-3.69,2.2,2.57,5,1,71.04,0,4.86
Ondansetron,1,8,mg,tablets,oral,5.7,0.006,5,293.37,293.37,4.56,-1.71,,2.12,-3.06,0.1,-3.18,0.2,2.72,2,0,29.66,0,9.89
Orphenadrine,1,100,mg,tablets,oral,10,0.04,8,269.39,269.39,3.43,-1.43,3.77,2.78,-3.95,13,-2.18,0.2,3.9,2,0,9.97,0,27.02
Oseltamivir Phosphate,1,75,mg,capsules,oral,,,2,312.41,312.41,3.62,,,,-2.66,0.4,-2.36,0.2,2.13,4,2,96.67,0,3.23
Oxaliplatin,1,5,mg/mL,solution,injection (i.v.),6,,,395.29,395.29,,-1.82,,,-1.51,,3.13,,0.78,2,2,48.49,0,8.15
Oxprenolol,1,80,mg,tablets,oral,30.86,0.01,3,265.36,265.36,3.52,-0.93,2.1,0.18,-2.6,0.5,-0.8,0.008,2.09,4,2,55.34,0,4.8
Oxybutynin Hydrochloride,1,15,mg,tablets,oral,0.8,0.08,0.5,357.5,393.95,4.38,-2.69,,,-4.56,5.5,-4.23,2.6,4.87,3,1,50.8,0,7.04
Oxycodone,1,80,mg,tablets,oral,100,0.003,19,315.37,315.37,3.6,-0.5,0.21,1.65,-1.74,0.06,-1.64,0.04,-0.04,5,1,60.22,0,5.24
Oxymorphone,1,40,mg,tablets,oral,24,0.007,1.9,301.35,301.35,3.88,-1.1,0.9,0.98,-1.05,0.006,-1.39,0.01,-0.48,5,2,73.98,0,4.07
P-Aminosalicylic Acid (PAS),1,1200,mg,tablets,oral,142.85,0.03,2,153.14,153.14,2.11,-0.03,0.89,,-1.13,0.4,-0.32,0.06,1.06,4,3,91.37,0,1.68
Pantoprazole Sodium,1,40,mg,tablets,oral,,,0,383.38,383.38,3.98,,,,-2.9,0.3,-3.45,1.2,2.11,6,1,80.15,0,4.78
Paroxetine,1,40,mg,tablets,oral,5.4,0.03,2,329.37,329.37,3.92,-1.79,,1.19,-4.58,18,-1.97,0.05,4.24,4,1,41.89,0,7.86
Pefloxacin,1,400,mg,tablets,oral,11.4,0.1,12,333.37,333.37,2.92,-1.47,0.27,0.15,-2.43,1.3,-0.61,0.02,-0.32,6,1,61.72,0,5.4
Pentoxifylline,1,400,mg,tablets,oral,191,0.008,0,278.31,278.31,2.84,-0.16,0.29,0.29,-1.73,0.3,-2.98,5.4,0.12,4,0,66.77,0,4.17
Perindopril Erbumine,1,8,mg,tablets,oral,,,8,368.48,368.48,4.66,,,-0.06,-2.48,0.03,-0.95,0.0008,1.21,5,2,101.91,0,3.62
Phenobarbital,1,60,mg,tablets,oral,1,0.2,24,232.24,232.24,3.59,-2.37,1.47,1.34,-2.91,0.8,-2.62,0.4,1.37,3,2,83.96,0,2.77
Phenylbutazone,1,100,mg,tablets,oral,0.7,0.6,1,308.38,308.38,3.49,-2.64,3.16,0.73,-3.33,2.8,-3.67,6.1,3.39,2,0,41.56,0,7.42
Phenylephrine Hydrochloride,1,1,mg/mL,solution,injection (i.v.),,,,167.21,167.21,,,-0.31,-1.89,-0.88,,0.51,,-0.09,2,0,60,0,2.79
Pimozide,1,2,mg,tablets,oral,0.008,1,,461.56,461.56,5.36,-4.76,6.3,4.09,-5.45,4.9,-5.02,1.8,6.4,2,1,33.99,1,13.57
Pramlintide Acetate,1,1,mg/mL,solution,injection (s.c.),,,,3950.46,3950.46,,,,,,,-17.83,,,60,56,1855.8,3,2.13
Prazosin,1,5,mg,tablets,oral,1.4,0.01,0.5,383.41,383.41,4.88,-2.44,,0.79,-2.75,0.03,-3.62,0.2,2.03,7,1,96.1,0,3.99
Prednisolone,1,5,mg,tablets,oral,0.38,0.05,16,360.45,360.45,4.86,-2.98,1.62,1.62,-3.18,0.08,-3.68,0.3,1.42,5,3,104.22,0,3.46
Primaquine,1,15,mg,tablets,oral,,,1,259.35,259.35,4.24,,,-0.07,-3.65,1,0.32,0.0001,2.6,4,2,61.59,0,4.21
Prochlorperazine,1,10,mg,tablets,oral,0.1,0.4,0.1,373.95,373.95,4.57,-3.57,4.88,2.98,-4.52,3.5,-4.05,1.2,4.38,3,0,2.92,0,128.07
Proguanil,1,100,mg,tablets,oral,9.09,0.04,,253.74,253.74,3.4,-1.45,2.53,,-3.33,3.4,0.28,0.0008,2.53,5,5,89.44,0,2.84
Promazine,1,100,mg,tablets,oral,333.33,0.001,2,284.43,284.43,3.45,0.07,4.55,2.52,-4.14,19,-2.04,0.2,4.4,2,0,1.75,0,162.53
Promethazine,1,50,mg,tablets,oral,,,2,284.43,284.43,3.75,,4.81,2.64,-4.07,8.3,-2.21,0.1,4.4,2,0,1.75,0,162.53
Propantheline Bromide,1,15,mg,tablets,oral,50,0.001,3.5,368.5,368.5,4.39,-0.87,-1.07,-1.07,-6.77,959,-4.17,2.4,1.49,1,0,36.48,0,10.1
Propranolol Hydrochloride,1,80,mg,tablets,oral,50,0.006,0.25,259.35,259.35,3.51,-0.71,3.48,1.2,-3.53,4.2,-1.11,0.02,2.75,3,2,46.24,0,5.61
Propylthiouracil,1,50,mg,tablets,oral,1.2,0.2,,170.23,170.23,3.53,-2.15,,1.09,-2.55,0.4,-1.83,0.08,0.97,1,2,46.21,0,3.68
Protriptyline,1,10,mg,tablets,oral,50,0.0008,1,263.39,263.39,4.42,-0.72,,1.36,-6.06,174,-1.1,0.002,4.87,1,1,14.57,0,18.08
Pyrazinamide,1,500,mg,tablets,oral,15,0.1,1.6,123.12,123.12,2.39,-0.91,-0.6,-0.59,-0.11,0.02,-0.57,0.06,-0.68,3,1,66.73,0,1.84
Quetiapine Fumarate,1,300,mg,tablets,oral,94,0.01,0.5,383.52,883.11,3.11,-0.97,,,-3.97,13,-3.69,6.7,2.99,5,1,43.01,0,8.92
Quinacrine; Mepacrine,1,100,mg,tablets,oral,28.57,0.01,,399.97,399.97,3.6,-1.15,,1.91,-5.22,166,-2.09,0.1,6.72,4,1,34.79,1,11.5
Quinidine Sulfate Dihydrate,1,300,mg,tablets,oral,11.1,0.1,18,324.43,782.94,3.03,-1.85,3.44,1.82,-3,1.5,-2.67,0.7,2.79,4,1,43.08,0,7.53
Quinine Bisulfate Heptahydrate,1,260,mg,capsules,oral,111.1,0.009,12,324.43,548.61,3.1,-0.69,3.44,1.82,-3,1.9,-2.85,1.3,2.79,4,1,43.08,0,7.53
Rabeprazole Sodium,1,20,mg,capsules,oral,,,0,359.45,359.45,4.25,,,,-3.03,0.2,-3.73,1.2,2.08,5,1,70.73,0,5.08
Ramelteon,1,8,mg,tablets,oral,,,0.1,259.35,259.35,4.51,,,,-4.2,2,-3.49,0.4,2.49,2,1,41.95,0,6.18
Ramipril,1,10,mg,capsules,oral,,,1.5,416.52,416.52,4.62,,,1.76,-4.03,1,-1.27,0.002,1.54,5,2,101.91,0,4.09
Reboxetine,1,6,mg,tablets,oral,8,0.003,10,313.4,313.4,4.72,-1.59,,,-4.17,1.1,-2.11,0.01,3.26,4,1,41.58,0,7.54
Remifentanil Hydrochloride,1,1,mg/mL,solution,injection (i.v.),,,0.1,376.46,376.46,,,1.85,1.25,-2.81,,-3.15,,1.96,4,0,74.45,0,5.06
Reserpine,1,0,mg,tablets,oral,0.01,0.1,1,608.69,608.69,6.39,-4.78,3.72,4.14,-4.73,0.09,-5.8,1,3.86,8,1,114.49,1,5.32
Ribavirin,1,200,mg,tablets,oral,142,0.006,17,244.21,244.21,3.09,-0.24,-1.85,-2.43,-0.86,0.02,-0.9,0.03,-2.85,7,4,146.67,0,1.67
Ridogrel,1,5,mg,tablets,oral,0.02,1,,366.34,366.34,4.86,-4.26,,,-4.64,2.4,-3.58,0.2,4.54,5,1,72.68,0,5.04
Riluzole,1,50,mg,tablets,oral,,,2,234.2,234.2,3.67,,,,-3.79,5.3,-2.72,0.4,3.24,3,1,47.02,0,4.98
Rimantadine Hydrochloride,1,100,mg,tablets,oral,50,0.008,20,179.31,179.31,3.25,-0.55,,0.08,-4.29,43,1.85,0.00003,3.96,1,1,27.97,0,6.41
Risperidone,1,4,mg,tablets,oral,0.25,0.06,3,410.5,410.5,5.01,-3.22,3.04,2.52,-3.37,0.09,-3.49,0.1,2.71,4,0,53.6,0,7.66
Rivastigmine,1,6,mg,capsules,oral,,,0.1,250.34,250.34,4.62,,,,-2.09,0.01,-1.56,0.003,2.1,2,0,29.73,0,8.42
Rizatriptan,1,10,mg,tablets,oral,42,0.001,14,269.35,269.35,4.43,-0.81,,,-2.9,0.1,-1.19,0.002,0.99,3,1,39.11,0,6.89
Ropinirole,1,5,mg,tablets,oral,133,0.0002,5,260.38,260.38,4.72,-0.29,2.7,,-2.85,0.05,-0.33,0.0002,2.8,2,1,33.72,0,7.72
Ropivacaine,1,10,mg/mL,solution,injection (epidural),53.8,,1,274.41,274.41,,-0.71,2.9,1.15,-3.01,,-3.25,,3.16,2,1,33.72,0,8.14
Rosiglitazone Maleate,1,8,mg,tablets,oral,0.04,0.8,0,357.43,357.43,4.65,-3.95,,,-3.98,0.9,-3.8,0.6,3.02,5,1,71.34,0,5.01
Roxatidine Acetate Hcl,1,150,mg,tablets,oral,,,2,384.9,384.9,3.41,,,-0.55,-2.98,1.5,-2.62,0.6,2.8,4,1,70.19,0,5.48
Salicylic Acid,1,300,mg,tablets,oral,2.51,0.5,15,138.12,138.12,2.66,-1.74,2.26,-1.51,-1.09,0.1,0.2,0.006,2.19,3,2,63.7,0,2.17
Scopolamine,1,10,mg,tablets,oral,666.67,0.00006,6,303.36,303.36,4.48,0.34,0.98,0.62,-1.65,0.006,-1.72,0.007,0.29,4,1,59.59,0,5.09
Secobarbital (Quinalbarbitone),1,100,mg,tablets,oral,1.1,0.4,,238.29,238.29,3.38,-2.34,1.97,1.97,-2.29,0.3,-2.94,1.5,2.16,3,2,83.96,0,2.84
Selegiline; (-)-Deprenil,1,5,mg,tablets,oral,,,0.1,187.29,187.29,4.57,,2.9,2.67,-3.87,0.8,-2.32,0.02,3.02,1,0,1.18,0,158.72
Sertraline Hydrochloride,1,100,mg,tablets,oral,3.8,0.1,0.2,306.24,306.24,3.49,-1.91,,2.74,-6.31,2667,-2.99,1.3,5.35,1,1,14.57,1,21.02
Sibutramine,1,15,mg,capsules,oral,2.9,0.02,0,279.86,279.86,4.27,-1.98,1.49,,-5.45,60,-2.19,0.03,5.59,1,0,1.18,1,237.17
Sildenafil,1,100,mg,tablets,oral,3.5,0.1,7.5,474.59,474.59,3.68,-2.13,,,-3.01,0.9,-4.17,12,1.98,7,1,105.18,0,4.51
Solifenacin Succinate,1,10,mg,tablets,oral,,,12.5,362.48,362.48,4.55,,,,-3.7,0.6,-3.16,0.2,4.68,2,0,29.42,0,12.32
Sparfloxacin,1,200,mg,tablets,oral,1.1,0.7,10,392.41,392.41,3.21,-2.55,,,-2.61,0.8,-0.67,0.01,-0.61,7,3,102.79,0,3.82
Sufentanil,1,0,mg/mL,solution,injection (i.v.),,,6,386.56,386.56,,,3.95,3.24,-4.5,,-3.23,,3.59,3,0,29.11,0,13.28
Sumatriptan Succinate,1,100,mg,tablets,oral,21.4,0.02,22,295.41,295.41,3.47,-1.14,0.93,-1.17,-3.37,3.2,-0.96,0.01,0.74,3,2,67.24,0,4.39
Sunitinib Malate,1,50,mg,capsules,oral,25,0.008,4,398.48,398.48,3.9,-1.2,,5.4,-4.11,6.5,-2.58,0.2,3,3,3,80.53,0,4.95
Tacrine,1,40,mg,capsules,oral,,,0.5,198.27,198.27,3.7,,2.71,0.46,-3.15,1.1,-0.12,0.001,3.27,2,1,37.91,0,5.23
Tamoxifen,1,20,mg,tablets,oral,0.5,0.2,0.5,371.53,371.53,4.27,-2.87,,6.56,-5.54,75,-4.42,5.7,6.82,2,0,10.28,1,36.14
Tamsulosin,1,0,mg,capsules,oral,,,8.7,408.52,408.52,6.01,,,,-4.78,0.2,-2.96,0.004,2.17,6,2,107.38,0,3.8
Temazepam,1,30,mg,capsules,oral,0.604,0.2,0.5,300.75,300.75,4,-2.7,2.19,1.79,-3.74,2.1,-3.58,1.5,2.34,3,1,51.32,0,5.86
Temocapril,1,4,mg,tablets,oral,,,1.5,476.62,476.62,5.08,,,,-5.14,4.6,-1.98,0.003,2.1,5,2,101.91,0,4.68
Temsirolimus,1,10,mg/mL,solution,injection (i.v.),0.01,,4.6,1030.31,1030.31,,-5.01,,,-5.64,,-9.52,,0.67,14,4,253.8,2,4.06
Tenoxicam,1,20,mg,tablets,oral,0.803,0.1,0.1,337.38,337.38,4.23,-2.62,,-0.32,-3.11,0.3,-0.17,0.0004,1.61,5,2,104.05,0,3.24
Terazosin,1,10,mg,tablets,oral,24.2,0.002,10,387.44,387.44,4.59,-1.2,,-4.64,-2.44,0.03,-3.71,0.5,2.18,8,1,95.48,0,4.06
Theophylline,1,600,mg,tablets,oral,8.3,0.3,18,180.17,180.17,2.48,-1.34,-0.04,-0.02,-0.91,0.1,-1.87,1,-0.03,3,1,61.9,0,2.91
Thioguanine,1,40,mg,tablets,oral,0.2,0.8,0.5,167.19,167.19,3.62,-2.92,,,-2.09,0.1,-0.79,0.006,-1.7,3,3,76.09,0,2.2
Thioridazine,1,200,mg,tablets,oral,1,0.8,,370.58,370.58,3.27,-2.57,5.9,3.55,-5.64,942,-3.53,7.3,6,2,0,1.75,1,211.76
Ticlopidine,1,250,mg,tablets,oral,,,0.5,263.79,263.79,3.02,,,3.37,-4.07,45,-3.48,11,4.39,1,0,1.18,0,223.55
Tilidine; Tilidate,1,50,mg,capsules,oral,,,0.1,273.38,273.38,3.74,,,,-2.8,0.5,-2.77,0.4,3.76,2,0,28.24,0,9.68
Timolol,1,20,mg,tablets,oral,2.74,0.03,15,316.43,316.43,4.2,-2.06,1.83,1.91,-3.07,0.3,-0.74,0.001,1.21,7,2,75.98,0,4.16
Tinidazole,1,500,mg,tablets,oral,20,0.1,22.5,247.27,247.27,2.69,-1.09,-0.35,-0.33,-1.91,0.7,-1.71,0.4,-0.32,5,0,91.72,0,2.7
